item_id,clean_text,domain_group,WSCG_Nodes,WSCG_Depth,Syntactic_MDD,Syntactic_Depth,Knowledge_NER_Density,Knowledge_Zipf_Rarity,Semantic_Concreteness,adversarial_raw_count,word_count,Adversarial_Score
0,Roof shingle removal: A man is sitting on a roof. He,activitynet,6,1.5,2.7273,3,0.0,3.4817,3.4218,0,13,0.5940062266181766
1,Clean and jerk: A lady walks to a barbell. She bends down and grabs the pole. The lady,activitynet,8,1.0,2.5556,3,0.0,3.8733,2.7793,0,21,0.1472744779836166
2,"Canoeing: Two women in a child are shown in a canoe while a man pulls the canoe while standing in the water, with other individuals visible in the background. The child and a different man",activitynet,18,8.0,3.3889,7,2.6316,3.2163,2.8613,0,38,-0.8020304878648232
3,High jump: A boy is running down a track. The boy,activitynet,5,0.5,2.7273,3,0.0,2.8283,3.2309,0,13,0.5940062266181766
4,High jump: The boy lifts his body above the height of a pole. The boy lands on his back on to a red mat. The boy,activitynet,10,1.5,2.64,3,0.0,3.2167,3.2058,0,29,-0.2994572706509435
5,High jump: The boy lands on his back on to a red mat. The boy gets up from the mat. The boy,activitynet,8,1.0,2.8636,3,0.0,3.143,3.2265,0,25,-0.07609139633366335
6,Playing harmonica: A man is standing in front of a camera. He starts playing a harmonica for the camera. He,activitynet,7,1.0,2.8,4,0.0,3.3411,3.1741,0,23,0.03559154082497651
7,Sumo: A cartoon animation video is shown with people wandering around and rockets being shot. Two men,activitynet,11,5.5,3.1765,6,5.2632,3.358,3.125,0,19,0.2589574151422567
8,Sharpening knives: A man is holding a pocket knife while sitting on some rocks in the wilderness. Then he,activitynet,11,3.0,3.1053,4,0.0,3.5956,2.9519,0,21,0.1472744779836166
9,Sharpening knives: Then he takes a small stone from the flowing river and smashes it on another stone. He starts to crush the small stone to smaller pieces. He,activitynet,10,1.0,3.0357,3,0.0,3.4627,2.9148,0,32,-0.4669816763889034
10,Sharpening knives: Then he takes a piece of bark and rubs the powered stone pieces onto it. The stone particles stick to the wet piece of wood. He,activitynet,13,1.5,2.7037,3,0.0,3.6047,2.9973,0,31,-0.4111402078095834
