question_id,difficulty_rasch
mmlu_abstract_algebra_row_0,0.5362946
mmlu_abstract_algebra_row_1,1.8603692
mmlu_abstract_algebra_row_2,0.84277517
mmlu_abstract_algebra_row_3,1.9512318
mmlu_abstract_algebra_row_4,0.7290901
mmlu_abstract_algebra_row_5,2.865945
mmlu_abstract_algebra_row_6,0.04671087
mmlu_abstract_algebra_row_7,4.617079
mmlu_abstract_algebra_row_8,0.5750748
mmlu_abstract_algebra_row_9,-1.1497245
mmlu_abstract_algebra_row_10,2.078948
mmlu_abstract_algebra_row_11,1.0115033
mmlu_abstract_algebra_row_12,3.0253274
mmlu_abstract_algebra_row_13,2.033404
mmlu_abstract_algebra_row_14,1.6064955
mmlu_abstract_algebra_row_15,2.4508145
mmlu_abstract_algebra_row_16,1.1396853
mmlu_abstract_algebra_row_17,1.3862064
mmlu_abstract_algebra_row_18,-0.14207111
mmlu_abstract_algebra_row_19,0.7490731
mmlu_abstract_algebra_row_20,1.7235307
mmlu_abstract_algebra_row_21,2.9521432
mmlu_abstract_algebra_row_22,2.2561362
mmlu_abstract_algebra_row_23,0.9518759
mmlu_abstract_algebra_row_24,2.4524071
mmlu_abstract_algebra_row_25,-0.70181876
mmlu_abstract_algebra_row_26,0.7139699
mmlu_abstract_algebra_row_27,0.9588955
mmlu_abstract_algebra_row_28,2.0735168
mmlu_abstract_algebra_row_29,-0.81691945
mmlu_abstract_algebra_row_30,2.7586353
mmlu_abstract_algebra_row_31,-1.872815
mmlu_abstract_algebra_row_32,-1.150006
mmlu_abstract_algebra_row_33,1.3490161
mmlu_abstract_algebra_row_34,2.284401
mmlu_abstract_algebra_row_35,0.89290494
mmlu_abstract_algebra_row_36,2.4601486
mmlu_abstract_algebra_row_37,1.7109547
mmlu_abstract_algebra_row_38,1.558465
mmlu_abstract_algebra_row_39,1.7818865
mmlu_abstract_algebra_row_40,1.8579743
mmlu_abstract_algebra_row_41,2.5811996
mmlu_abstract_algebra_row_42,2.2124166
mmlu_abstract_algebra_row_43,1.1655146
mmlu_abstract_algebra_row_44,0.686174
mmlu_abstract_algebra_row_45,0.5315324
mmlu_abstract_algebra_row_46,1.8559364
mmlu_abstract_algebra_row_47,0.1526643
mmlu_abstract_algebra_row_48,1.8396491
mmlu_abstract_algebra_row_49,0.21073054
mmlu_abstract_algebra_row_50,1.2117862
mmlu_abstract_algebra_row_51,0.49694902
mmlu_abstract_algebra_row_52,2.343507
mmlu_abstract_algebra_row_53,1.759217
mmlu_abstract_algebra_row_54,-1.1850227
mmlu_abstract_algebra_row_55,0.30853945
mmlu_abstract_algebra_row_56,2.811938
mmlu_abstract_algebra_row_57,1.9053185
mmlu_abstract_algebra_row_58,2.790704
mmlu_abstract_algebra_row_59,0.763075
