question_id,subject,domain_group,redux_error_type,b_published,b_early_cohort,b_recent_cohort,b_random_cohort_a,b_random_cohort_b
mmlu_abstract_algebra_row_0,abstract_algebra,STEM,ok,-0.6506886,0.44925004,-0.86051565,0.071790084,-0.40621755
mmlu_abstract_algebra_row_1,abstract_algebra,STEM,ok,3.2421951,0.74995136,2.4180517,1.8764592,1.6395411
mmlu_abstract_algebra_row_2,abstract_algebra,STEM,ok,0.17629421,1.8966725,-0.013641568,0.3265886,0.9410113
mmlu_abstract_algebra_row_3,abstract_algebra,STEM,ok,4.136946,2.1461265,3.5913947,2.3105829,2.4101229
mmlu_abstract_algebra_row_4,abstract_algebra,STEM,ok,0.48076785,-1.2709026,0.16106574,0.29833212,0.037106253
mmlu_abstract_algebra_row_5,abstract_algebra,STEM,ok,6.250009,0.7770313,5.208952,3.5930123,3.5484185
mmlu_abstract_algebra_row_6,abstract_algebra,STEM,ok,-1.5200826,-0.23544344,-0.9954487,-0.26124257,-1.112956
mmlu_abstract_algebra_row_7,abstract_algebra,STEM,wrong_groundtruth,5.092069,2.9663615,4.2470345,3.4383304,3.2645402
mmlu_abstract_algebra_row_8,abstract_algebra,STEM,ok,-0.22796866,0.4005343,-0.79637396,-0.15744257,-0.02810156
mmlu_abstract_algebra_row_9,abstract_algebra,STEM,ok,-1.5659604,-0.7476233,-1.4315124,-1.3562416,-1.1343821
mmlu_abstract_algebra_row_10,abstract_algebra,STEM,ok,3.7618816,1.8842946,3.3518283,2.0409625,2.4504497
mmlu_abstract_algebra_row_11,abstract_algebra,STEM,ok,0.55813164,1.8740035,1.0009187,1.1365268,0.66945183
mmlu_abstract_algebra_row_12,abstract_algebra,STEM,ok,6.458314,3.226318,5.174355,3.304587,3.2965624
mmlu_abstract_algebra_row_13,abstract_algebra,STEM,ok,4.1401362,2.3353295,2.3096683,2.4418533,2.2116067
mmlu_abstract_algebra_row_14,abstract_algebra,STEM,ok,0.922781,1.6502302,1.6203135,1.6611965,1.4823692
mmlu_abstract_algebra_row_15,abstract_algebra,STEM,ok,5.926294,2.473836,4.553048,3.4969468,3.2354803
mmlu_abstract_algebra_row_16,abstract_algebra,STEM,ok,0.5989087,1.1606256,1.7496591,1.160384,2.00219
mmlu_abstract_algebra_row_17,abstract_algebra,STEM,ok,1.1117955,0.87594676,2.2909336,1.3223267,1.1474878
mmlu_abstract_algebra_row_18,abstract_algebra,STEM,ok,-0.567425,0.091256075,-0.41005522,-0.014365146,-0.0038588936
mmlu_abstract_algebra_row_19,abstract_algebra,STEM,ok,0.18927537,0.08867265,0.506637,0.67269987,0.24255568
mmlu_abstract_algebra_row_20,abstract_algebra,STEM,ok,5.1511545,-0.07010862,3.9216175,2.9846234,0.567862
mmlu_abstract_algebra_row_21,abstract_algebra,STEM,ok,6.0356812,2.9407609,4.9742327,2.8107958,3.5416865
mmlu_abstract_algebra_row_22,abstract_algebra,STEM,ok,1.6908649,1.5732225,2.188153,1.7621373,1.4329953
mmlu_abstract_algebra_row_23,abstract_algebra,STEM,ok,0.18874206,2.6667743,0.05534511,0.55258477,0.6657473
mmlu_abstract_algebra_row_24,abstract_algebra,STEM,wrong_groundtruth,6.1917605,2.2398372,4.9789715,3.3944457,3.0627265
mmlu_abstract_algebra_row_25,abstract_algebra,STEM,ok,-0.8810938,-0.12675002,-0.8619145,-0.6349123,-0.4265027
mmlu_abstract_algebra_row_26,abstract_algebra,STEM,ok,-0.011909892,0.17584139,0.5947698,0.238334,0.29916337
mmlu_abstract_algebra_row_27,abstract_algebra,STEM,ok,2.050221,3.0247848,-1.2144576,0.06755178,0.6977494
mmlu_abstract_algebra_row_28,abstract_algebra,STEM,ok,1.6164006,2.6606314,2.2568245,1.5701388,2.1609094
mmlu_abstract_algebra_row_29,abstract_algebra,STEM,ok,-1.787423,-1.2850899,-1.3279289,-0.9009825,-1.5794667
mmlu_abstract_algebra_row_30,abstract_algebra,STEM,ok,6.0255423,2.5346363,4.8207707,3.3308494,3.227914
mmlu_abstract_algebra_row_31,abstract_algebra,STEM,ok,-1.5839186,-1.3472452,-1.9492728,-1.7783521,-1.2207373
mmlu_abstract_algebra_row_32,abstract_algebra,STEM,ok,-1.9726588,-2.720992,-1.4218152,-0.84759665,-1.8289944
mmlu_abstract_algebra_row_33,abstract_algebra,STEM,ok,0.6449852,2.8279307,0.57594115,1.024327,1.0889956
mmlu_abstract_algebra_row_34,abstract_algebra,STEM,bad_question_clarity,6.1029906,0.48387158,4.649589,3.0290895,3.2837312
mmlu_abstract_algebra_row_35,abstract_algebra,STEM,ok,0.62556106,-0.21706448,0.9210491,0.8174196,0.80638427
mmlu_abstract_algebra_row_36,abstract_algebra,STEM,ok,1.6482254,2.3593223,2.166288,1.6967705,2.050745
mmlu_abstract_algebra_row_37,abstract_algebra,STEM,ok,4.374452,2.259494,2.287825,1.8949753,2.1993067
mmlu_abstract_algebra_row_38,abstract_algebra,STEM,ok,1.759144,0.62871915,2.4530396,1.6861594,1.5782325
mmlu_abstract_algebra_row_39,abstract_algebra,STEM,ok,0.8396846,1.9851246,1.8087715,1.054421,1.3126094
mmlu_abstract_algebra_row_40,abstract_algebra,STEM,ok,1.2991197,2.990817,0.7476972,1.6838521,1.4845732
mmlu_abstract_algebra_row_41,abstract_algebra,STEM,ok,6.5125504,1.7978512,5.1307597,3.2808702,3.484089
mmlu_abstract_algebra_row_42,abstract_algebra,STEM,ok,5.456271,2.2008,4.0216017,2.893807,2.620869
mmlu_abstract_algebra_row_43,abstract_algebra,STEM,ok,0.47883606,0.10570863,1.0988157,0.75708145,0.68746454
mmlu_abstract_algebra_row_44,abstract_algebra,STEM,ok,0.07223353,-0.22012007,0.09719154,0.44788924,-0.19161306
mmlu_abstract_algebra_row_45,abstract_algebra,STEM,ok,-0.14808288,0.51066875,0.22963198,0.26457635,0.07582118
mmlu_abstract_algebra_row_46,abstract_algebra,STEM,ok,5.0624967,2.019788,3.206151,2.9982963,2.5977807
mmlu_abstract_algebra_row_47,abstract_algebra,STEM,ok,-2.0417466,-1.8329084,-1.075135,-1.129502,-0.755625
mmlu_abstract_algebra_row_48,abstract_algebra,STEM,ok,1.5120171,1.3506643,2.886312,1.3513893,1.7272445
mmlu_abstract_algebra_row_49,abstract_algebra,STEM,ok,-2.404211,-1.2199045,-1.6919891,-0.5753736,-0.67299795
mmlu_abstract_algebra_row_50,abstract_algebra,STEM,ok,0.44852754,2.5567913,0.3176235,0.8209255,0.80089253
mmlu_abstract_algebra_row_51,abstract_algebra,STEM,ok,-0.75459695,-1.6768544,-0.25102016,-0.073927045,-0.18197612
mmlu_abstract_algebra_row_52,abstract_algebra,STEM,ok,6.027223,1.9605736,4.6926856,3.306987,2.4843395
mmlu_abstract_algebra_row_53,abstract_algebra,STEM,expert,2.9083252,0.5044888,2.9925568,2.0240624,1.508823
mmlu_abstract_algebra_row_54,abstract_algebra,STEM,ok,-2.2757533,-0.60437286,-1.8355228,-2.3236992,-1.6580104
mmlu_abstract_algebra_row_55,abstract_algebra,STEM,ok,-0.89729923,0.09594933,-0.610565,0.29710242,-0.87600654
mmlu_abstract_algebra_row_56,abstract_algebra,STEM,ok,3.072773,2.8388069,2.4983013,2.1619823,2.5174894
mmlu_abstract_algebra_row_57,abstract_algebra,STEM,ok,2.9219766,2.321536,1.4629929,2.4143329,1.526502
mmlu_abstract_algebra_row_58,abstract_algebra,STEM,ok,6.1863422,1.1460556,5.116723,3.4200444,3.5069263
mmlu_abstract_algebra_row_59,abstract_algebra,STEM,ok,0.60958064,0.25314578,-0.37115294,0.9283967,0.22147918
mmlu_abstract_algebra_row_60,abstract_algebra,STEM,wrong_groundtruth,3.2222638,2.6344328,3.076386,2.4438586,2.63146
mmlu_abstract_algebra_row_61,abstract_algebra,STEM,ok,2.0556228,2.853807,1.5730579,1.9794604,1.9568888
mmlu_abstract_algebra_row_62,abstract_algebra,STEM,wrong_groundtruth,4.5737696,1.7810411,4.03373,2.754921,2.7722487
mmlu_abstract_algebra_row_63,abstract_algebra,STEM,ok,6.0045385,2.7808366,4.8627133,3.437265,3.2485926
mmlu_abstract_algebra_row_64,abstract_algebra,STEM,ok,2.0640817,-0.44807762,2.5130465,1.2880199,1.1735018
mmlu_abstract_algebra_row_65,abstract_algebra,STEM,wrong_groundtruth,1.2782245,2.7432973,1.3569223,1.4626021,1.7320987
mmlu_abstract_algebra_row_66,abstract_algebra,STEM,ok,2.35666,3.0129137,2.911172,2.0974383,2.0939622
mmlu_abstract_algebra_row_67,abstract_algebra,STEM,no_correct_answer,5.1138434,2.9599102,4.330301,3.0765705,3.0715182
mmlu_abstract_algebra_row_68,abstract_algebra,STEM,ok,-1.8894829,-2.0654736,-1.5193139,-0.07629375,-1.0807469
mmlu_abstract_algebra_row_69,abstract_algebra,STEM,ok,-1.65325,-1.8183973,-1.0924218,-0.28633675,-1.318405
